Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
3.88972973,38.8972973,0.392043243,392.0432432,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.382534535,43.82534535,0.295495496,295.4954955,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.08960961,40.8960961,0.453736937,453.7369369,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.089921922,40.89921922,0.501333333,501.3333333,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.373069069,43.73069069,0.452958559,452.9585586,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.457177177,44.57177177,0.471034234,471.0342342,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.667051051,46.67051051,0.455812613,455.8126126,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.666882883,46.66882883,0.430183784,430.1837838,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.573309309,45.73309309,0.569571171,569.5711712,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.195363363,41.95363363,0.570609009,570.609009,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.974798799,39.74798799,0.556569369,556.5693694,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.680792793,36.80792793,0.550054054,550.0540541,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.786114114,37.86114114,0.601023423,601.0234234,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.090522523,40.90522523,0.592864865,592.8648649,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.090954955,40.90954955,0.658767568,658.7675676,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.891627628,38.91627628,0.681282883,681.2828829,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.996732733,39.96732733,0.699300901,699.3009009,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.185705706,41.85705706,0.698781982,698.781982,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.279831832,42.79831832,0.643603604,643.6036036,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.374606607,43.74606607,0.687279279,687.2792793,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.458426426,44.58426426,0.66141982,661.4198198,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.479279279,44.79279279,0.639394595,639.3945946,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.57378979,45.7378979,0.642796396,642.7963964,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.978294294,49.78294294,0.689282883,689.2828829,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
5.067315315,50.67315315,0.656086487,656.0864865,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.752936937,47.52936937,0.744821622,744.8216216,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.858186186,48.58186186,0.784807207,784.8072072,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.753513514,47.53513514,0.832691892,832.6918919,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.553945946,45.53945946,0.818594595,818.5945946,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.564636637,45.64636637,0.847855856,847.8558559,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.565021021,45.65021021,0.906436036,906.436036,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.649105105,46.49105105,0.920850451,920.8504505,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.082114114,40.82114114,0.911423423,911.4234234,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.987123123,39.87123123,0.834796396,834.7963964,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.881993994,38.81993994,0.813117117,813.1171171,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.671663664,36.71663664,0.758774775,758.7747748,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.483051051,34.83051051,0.814212613,814.2126126,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.660492492,46.60492492,1.056288288,1056.288288,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
3.894846847,38.94846847,1.171891892,1171.891892,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
4.875123123,48.75123123,1.765996396,1765.996396,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
