Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
0.2,2,0.0025,2.5,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
0.7,7,0.02,20,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
1.2,12,0.05,50,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
1.7,17,0.1,100,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
2.2,22,0.16,160,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
2.7,27,0.23,230,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
3.2,32,0.31,310,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
3.7,37,0.4,400,Moorea,Bak 1990,Bak 1990,Midpoint of size class used
