Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay
5.7,57,3.905426975,3905.426975
6.2,62,5.081128369,5081.128369
6.7,67,5.770289766,5770.289766
7.2,72,6.684771932,6684.771932
