Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay
1.2,12,0.0067,6.7
1.7,17,0.0067,6.7
2.7,27,0.0268,26.8
3.2,32,0.1072,107.2
3.7,37,0.2412,241.2
4.2,42,0.4757,475.7
4.7,47,0.7102,710.2
5.2,52,1.2529,1252.9
5.7,57,2.0301,2030.1
6.2,62,2.8944,2894.4
6.7,67,4.5627,4562.7
