Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
3.951050619,39.51050619,0.533466126,533.4661255,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.082289963,40.82289963,0.746663307,746.6633073,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.091941684,40.91941684,0.612816654,612.8166543,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.053806515,40.53806515,0.532792934,532.7929338,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.211566254,42.11566254,0.732942968,732.9429681,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.192155901,41.92155901,0.604228838,604.2288384,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.326651948,43.26651948,0.776937674,776.9376736,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.318824655,43.18824655,0.644553443,644.5534426,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.453755632,44.53755632,0.855135867,855.1358669,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.444404533,44.44404533,0.686814429,686.8144288,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.570969599,45.70969599,0.933896008,933.8960079,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.565691819,45.65691819,0.787951883,787.9518825,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.514014115,45.14014115,0.698789115,698.789115,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.694476267,46.94476267,1.005769061,1005.769061,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.677373855,46.77373855,0.849131114,849.1311143,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.770078926,47.70078926,1.042026592,1042.026592,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.80778131,48.0778131,0.889378403,889.3784029,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.921107974,49.21107974,0.916134718,916.1347184,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.980517178,49.80517178,1.076811551,1076.811551,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.058100628,50.58100628,0.926014163,926.0141626,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.0988391,50.988391,1.125518585,1125.518585,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.17279044,51.7279044,0.974681642,974.6816417,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.211930885,52.11930885,1.149545354,1149.545354,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.235627834,52.35627834,1.024704086,1024.704086,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
